ore_studio,punteggio_esame
5.4,65.65
1.65,51.67
10.79,88.73
16.75,128.69
14.83,114.56
7.53,75.78
1.58,48.37
7.23,82.68
7.63,74.22
13.31,101.57
4.76,65.82
7.24,77.81
12.51,99.37
11.91,100.33
5.37,63.07
19.86,142.02
19.61,129.33
9.66,81.64
14.96,115.68
6.92,80.44
19.59,141.89
18.15,130.41
9.2,87.12
12.03,96.96
1.15,47.64
14.07,109.19
13.83,108.93
4.66,63.84
1.94,44.38
18.94,132.7
16.08,119.02
15.08,118.21
4.02,65.26
13.8,111.17
5.54,71.24
9.29,81.48
15.63,115.08
11.84,94.62
11.45,93.6
16.84,121.47
16.45,127.21
3.93,63.89
3.41,54.83
17.59,132.31
13.34,106.75
5.17,67.53
16.59,118.32
5.49,62.89
16.47,123.33
12.28,99.51
7.33,79.95
1.17,42.6
11.86,98.63
4.99,63.07
9.13,85.52
13.57,109.13
6.44,75.88
10.35,93.42
19.21,132.92
7.44,77.53
12.46,108.04
1.99,47.11
14.39,104.79
9.86,91.29
9.41,87.98
14.27,107.7
1.45,44.67
13.57,101.05
16.35,116.47
15.46,109.7
6.91,80.15
19.37,137.72
8.63,89.11
14.74,111.69
6.31,77.57
8.38,81.8
2.14,53.29
4.23,66.44
1.82,44.51
15.23,114
19.91,134.32
1.94,46.42
1.4,53.66
17.29,129.79
17.24,130.33
5.6,70.23
13.32,108.24
19.65,136.38
12.14,100.6
9.5,92.57
18.13,131.11
13.27,111.81
3.34,54.04
8.25,86.11
13.09,99.46
14.86,117.21
17.65,126.47
6.42,68.56
15.06,114.15
17.8,122.93
1.8,47.25
15.23,110.46
2.75,59.66
6.03,67.8
14.7,111.82
17.02,119.14
7.46,82.84
11.76,101.61
17.14,117.81
11.85,101.8
10.27,94.37
8.23,78.7
18.9,136.62
12.86,99.53
6.64,67.73
17.37,125.93
13.41,105.04
9.66,94.73
10.44,97.3
14.36,110.67
3.65,58.85
13.68,102.8
16.46,125
9.18,85.19
5.7,70.83
14.36,116.79
16.29,127.03
1.07,51.94
10.57,94.52
17.36,124.54
10.72,95.76
14.95,109.03
18.54,135.84
12.71,98.48
18.51,124.07
10.74,98.61
12.94,99.96
5.83,64.08
5.63,73.83
7.63,77.78
6.33,77.47
16.55,127.47
19.92,140.24
5.35,68.08
7.15,74.76
8.03,83.63
18.23,130.01
6.26,65.69
1.8,50.31
11.65,91.92
12.91,98.22
5.49,67.21
9.12,82.38
10.82,97.47
5.83,71.26
5.94,75.63
17.42,120.79
1.7,46.51
13.82,104.45
1.25,51.41
12.76,100.65
2.94,53.89
14.47,105.21
2.74,61.54
3.87,61.73
14.24,115.82
2.47,54.78
15.18,113.78
5.37,61.61
18.96,132.94
4.31,65.88
18.66,133.14
17.47,121.83
11.58,95.55
13.5,108.75
13.22,100.42
2.12,52.82
12.18,95.32
17.11,127.46
12.56,101.24
7.58,83.14
10.75,99.22
18.88,133.51
5.61,67.67
4.45,69.62
12.58,97.35
1.64,44.16
19.08,131.42
3.1,52.07
13.43,110.68
19.31,136.44
14.9,115.44
15.55,111.26
18.78,131.26
19.15,130.36
2.63,58.11
13.84,105.87
11.9,97.55
2.67,59.55
5.81,65.41
17.76,122.32
3.96,54.52
11.78,100.83
15.24,115.08
8.03,80.55
13.97,103.75
16.47,121.15
5.2,65.79
7.01,81.9
16.79,117.15
7.98,78.61
12.59,109.3
3.69,59.33
10.92,96.5
12.26,104.87
13.03,108.76
8.28,85.67
16.38,114.33
5.02,66.96
11.89,95.64
8.11,76
2.43,58.85
13.08,101.31
8.26,87.66
15.03,119.07
11.23,96.3
3.33,52.06
2.84,62.33
14.26,105.61
2.51,61.03
14.91,112.85
11.79,100.04
4.63,69.18
8.12,81.85
3.02,50.17
10.54,93.82
16.27,118.6
7.48,79.62
2.08,51.55
16.44,126.37
10.78,94.25
18.1,129.97
19.29,133.49
6.47,70.34
5.8,71.27
1.86,54.68
19.73,136.74
11.82,94.34
6.01,67.58
5.41,67.54
2.83,55.93
9.4,83.18
6.56,79.37
2.33,59.68
18.26,128.35
9.33,83.69
12.03,101.06
7.4,79.82
7.32,79.01
15.34,113.3
13.68,106.91
6.65,71.15
1.72,47
10.08,89.15
1.25,52.34
7.48,73.47
14.81,113.55
3.45,60.54
9.16,90.23
18.63,131.42
5.28,73.75
10.79,91.59
7.16,76.53
17.09,126.92
8.22,75.54
18.02,124.08
15.35,118.57
16.03,125.42
15.7,120.21
9.77,87.63
6.78,69.84
5.57,70.58
5.72,73.03
3.38,52.81
15.34,115.81
13.53,111.82
5.68,71.35
12.87,105.07
12.14,102.56
1.14,42.44
19.19,130.67
18.84,135.96
6.4,76.85
11.65,92.69
6.38,71.39
1.35,49.53
9.65,93.92
1.86,47.55
12.65,95.95
16.63,124.04
15.46,121.82
2.67,56.84
8.82,86.48
13.88,112.91
13.59,104.69
19.5,141.46
12.73,107.41
18.85,135.14
19.51,135.83
14.62,107.79
17.32,127
19.47,136.39
5.5,68.13
9.54,81.12
10.07,87.24
9.37,80.88
18.04,124.61
3.17,57.76
7.95,84.09
18.37,123.56
6.69,75.96
10.08,90.48
12.76,103.58
15.82,116.85
10.48,86.05
9.57,88.66
19.94,134.22
10.04,87.57
17.6,123.1
14.78,111.54
4.79,67.06
1.5,54.64
11.66,92.31
14.63,108
19.16,133.77
18.09,129.73
14.28,112.69
16.8,128.08
18.51,128.41
4.29,57.49
10.21,98
1.59,51.66
8.51,86.84
1.21,40.85
1.82,50.42
14.74,111.06
17.01,121.8
9.65,87.6
3.04,57.56
19.14,131.13
5.41,73.01
11.07,102.01
10.77,91.19
18.56,131.94
4.6,61
13.5,110.77
10.72,90.99
16.26,125.73
19.18,132.67
8.34,76.36
17.63,123.4
17.55,125.77
4.25,66.97
9.19,90.77
16.99,117.33
19.26,135.2
9.52,89.61
1.55,44.5
17.2,124.05
5.24,67.68
16,120.09
12.44,95.91
3.13,55.52
4.64,68.34
15.94,124.13
15.05,111.6
19.12,136.03
4.34,65.42
13.41,107.05
10.24,96.63
1.45,47.05
19.07,135.77
2.17,48.09
18.99,128.11
6.22,76.07
15.69,115.2
16.03,120.48
4.83,65.53
15.68,123.7
14.29,114.36
4.65,67.55
11.19,97.68
7,76.52
5.21,67.98
9.77,84.72
19.63,132.62
17.45,128.48
5.09,64.35
14.9,114.03
4.11,59.47
16.06,125.3
4.79,58.55
19.39,139.55
10.14,88.6
18.7,127.15
18.23,127.1
14.01,115.9
11.82,96.46
9.56,91.96
4.26,57.9
9.93,90.98
2.93,52.83
11.14,97.42
3.36,56.34
7.09,73.65
17.86,126.07
17.61,125.03
14.34,106.23
16.12,124.28
6.55,74.6
19.65,137.19
9.98,96.48
19.62,134.21
19.26,140.34
6.73,67.75
15.56,110.66
5.87,72.61
17.45,120.43
3.77,55.59
3.38,57.99
18,133.52
13.42,101.81
9.32,87.31
2.18,56.92
9.63,87.81
6.98,82.49
6.09,65.09
3.55,55.01
19.9,134.03
4.07,57.01
6.03,76.21
7.17,74.12
2.92,56.44
3.25,60.5
15.72,120.04
15.14,114.09
14.75,106.95
7.2,81.8
17.28,127.32
13.11,105.96
16.69,123.35
2.1,47.15
2.7,61.74
14.41,112.4
17.14,126.45
19.01,128.41
4.61,68.34
15.14,115.73
19.79,135.48
11.08,98.16
9.46,93.3
12.13,94.49
6.31,73.06
2.84,61.59
19.18,140.39
7.91,80.59
10.42,88.59
17.31,122.86
14.24,103.93
2.55,56.29
17.51,122.14
9.11,81.14
8.19,76.76
10.5,98.04
12.54,104.01
12.47,103
3.57,52.71
7.31,72.68
5.51,68.5
10.24,84.48
1.32,47.66
15.36,113.69
15.31,117.74
17.73,129.3
6.62,71.39
5.42,74.34
12,95.9
1.61,54.09
12.14,96.87
13.26,111.93
7.56,81.86
13.66,107.91
15.74,118.79
15.13,115.54
10.05,94.24
7.5,72.88
15.61,111.64
18.21,124.4
12.2,95.48
3.22,63.61
1.83,48.52
4.95,59.94
14.5,113.39
11,100.68
1.43,44.62
16.41,125.82
6.65,72.78
17.63,126.88
5.79,69.77
13.51,100.81
2.47,59.46
16.98,123.34
8.56,87.43
10.19,91.78
14.29,105.76
8.38,86.41
1.97,57.74
3.56,61.06
4.73,71.26
1,48.36
7.62,72.06
4.94,62.91
5.93,69.24
5.1,63.76
8.62,77.72
19.88,138.11
7.19,83.34
10.27,92.42
11.31,92.77
15.05,118.22
10.16,88.35
7.55,79.78
8.28,80.78
5.18,63.1
4.29,62.12
17.56,122.99
13.89,111.48
12.83,102.81
14.89,115.85
10.52,91.01
1.26,42.4
15.12,119.83
14.48,116.09
3.18,52.7
6.59,67.55
10.48,92.22
1.72,48.95
9.78,89.13
2.06,51.13
15.19,114.68
19.63,142.84
17.87,128.11
12.05,93.07
9.01,92.09
18.39,126.97
8.06,74.49
16.83,124.29
19.64,142.34
18.47,135.44
17.77,124.44
4.75,68.68
4.17,67.52
4.25,59.43
1.89,49.88
1.77,44.14
2.46,47.37
4.05,68.13
3.35,55.29
2.48,56.62
11.42,91.79
14.64,111
6.65,71.6
11.58,92.34
17.29,126.71
17.15,118.59
6.33,68.73
5.74,73.63
14.81,115.87
8.39,75.33
5.41,74.79
5.93,72.89
13.36,106.97
9.72,90.27
19.65,140.09
13.2,103.07
10.98,96.47
15.22,114.48
11.93,92.69
16.86,123.47
12.43,106.7
12.36,98.22
3.38,59.1
18.13,127.69
15.06,109.28
18.16,132.4
19.59,138.38
12.22,95.91
19.73,139.73
16.68,124.26
4.67,62.63
4.84,64.35
9.61,90.71
7.04,81.53
7.3,80.05
6.13,66.18
10.9,95.38
9.81,92.53
11.69,92.38
2.1,56.37
7.56,84.91
12.9,107.89
2.46,56.04
17.4,128.78
13.91,104.55
8.81,84.51
16.54,125.82
3.61,57.64
1.18,41.67
9.41,85.72
10.88,97.38
8.96,85.78
1.02,49.97
19.08,133.28
2.23,58.49
2.43,47.73
5.95,69.91
4.33,64.43
3.75,66.05
17.33,118.23
8.7,86.74
11.85,95.33
5.6,62.93
6.37,71.7
9.56,81.73
16.97,126.21
18.52,126.17
16.03,124.36
10.59,89.37
15.58,111.17
9.24,84.76
15.5,111.97
15.83,116.09
17.55,130.88
12.92,100.09
7.01,82.33
18.41,137.07
17.42,126.21
4.46,61.81
18.55,134.93
12.63,101.74
18.72,135.03
3.81,65.79
17.12,125.17
11.92,94.38
16.61,126.94
16.19,114.53
8.33,88.83
15.82,110.95
14.97,109.11
16.19,113.01
18.52,124.6
1.82,54.01
1.97,54.8
13.94,105.46
16.22,119.23
18.21,129.46
17.05,124.47
13.08,105.51
1.13,46.7
16.76,121.32
5.31,70.35
12.75,96.65
13.53,103.36
14.48,106.93
10.41,91.76
15.5,117.86
7.07,69.06
14.2,113.37
2.84,60
3.1,56.13
3.03,55.37
7.13,70.35
8.67,81.5
13.38,106.72
13.07,108.25
19.39,128.87
6.68,69.05
13.87,105
15.32,116.79
12.4,97.42
12.01,104.16
9.52,94.69
2.96,49.63
17.3,128.31
4.21,60.5
4.25,55.42
10.28,91.32
9.21,86.22
3.67,59.31
6.51,66.38
2.06,46.31
15.54,110.89
11.58,95.76
2.71,50.61
6.52,74.11
2.12,58.4
3.3,55.49
12.66,95.82
16.63,124.36
12.35,101.7
13.12,107.68
17.91,124.03
1.83,49.78
8.24,83.15
6.5,71.96
9.99,95.6
11.31,96.45
2.45,54.71
14.75,108.83
6.66,74.52
7.59,79.46
6.18,75.08
19.16,131.36
17.08,119.49
19.59,141.92
2.07,57.77
2.47,56.05
12.85,105.99
7.2,81.11
18,132.41
15.96,122.39
19.08,139.35
7.18,74.86
16.83,123.33
14.77,107.98
2.36,49.9
9.56,94.16
1.11,47.02
12.8,99.36
11.64,102.84
1.49,43.5
9.68,91.39
6.04,75.26
2.06,47.3
7.48,73.67
6.25,77.57
6.22,69.26
6.79,74.55
12.09,100.27
1.87,45.08
14.07,106.41
10.68,93.92
12.1,105.5
12.4,102.01
7.84,80.99
19.96,132.55
8.08,87.06
2.86,59.05
4.43,60.72
4.79,69.73
11.38,102.86
8.73,81.75
2.81,61.74
18.84,137.82
9.6,82.35
16.25,116.85
18.95,130.84
1.72,55.81
4.48,63.29
19.55,140.32
3.22,53.28
5.38,72.69
8.22,82.94
7.77,84.15
1.13,40.63
8.5,76.17
17.23,122.72
15.19,108.5
6.6,76.59
2.7,48.91
1.38,51.17
6.15,67.76
1.59,53.19
8.81,77.98
3.57,62.31
13.03,108.09
11.26,101.43
4,63.28
7.87,81.05
14.1,115.26
3.49,56.73
6.89,73.19
12.97,105.9
7.34,76.04
12.84,107.57
16.56,125.74
7.2,73.16
14.21,104.15
14,109.54
14.52,104.94
15.87,118.03
13.3,102.62
19.64,138.35
10.62,98.85
12.11,104.53
12.96,108
3.7,58.94
18.9,136.23
14.13,113.95
15.88,116.92
11.13,95.29
1.36,50.16
7.94,75.52
8.57,88.98
17.05,121.45
7.66,72.87
18.46,131.16
13.81,112.78
10.37,93.7
16.8,127.06
6.12,72.45
16,116.77
16.82,115.91
12.71,100.8
6.86,79.84
6.49,72.84
4.43,60.45
8.77,88.23
2.59,49.87
15.85,124.13
13.5,106.53
2.26,56.71
16.06,119.56
18.98,131.35
16.86,117.82
10.82,90.56
12.21,101.62
17.32,125.99
4.77,64.22
19.72,137.58
4.93,67.61
12.85,105.12
9.07,89.9
11.18,94.19
8.25,80.23
7.14,73.17
9.93,95.71
18.61,137.17
2.97,49.55
6.22,70.62
9.85,90.23
15.7,123.49
13.78,113.5
12.51,99.41
9.32,90.68
1.56,44.07
11.71,103.85
3.61,56.13
16.73,126.14
15.75,113.89
3.13,55.39
12.04,94.71
16.8,119.49
7.2,77.65
1.13,46.57
1.93,57.31
11.46,97
13.19,102.59
12.34,107.99
17.66,127.42
19.13,136.13
2.12,58.35
1.17,44.48
15.4,115.78
13.44,100.51
7.33,82.82
2.55,47.76
4.62,67.06
10.44,95.52
19.79,131.36
3.07,51.38
5.5,67.67
19.16,135.89
19.79,138.11
8.51,86.16
12.34,97.32
7.67,77.5
14.5,108.41
12.9,100.89
19.86,141.25
17.61,129.75
5.53,72.03
1.95,53.78
17.43,121.43
9.01,81.22
19.34,128.98
9.93,86.52
8.28,88.61
5.76,74.24
10.71,96.86
2.04,50.38
15.59,114.12
9.32,93.02
19.06,134.83
19.11,131.48
18.58,126.69
3.99,67.01
7.69,84.4
14.85,120.17
8.52,87.68
15.57,112.47
13.07,103.36
12.47,95.21
12.62,97.02
14.47,105.28
14.92,114.38
10.75,95.22
9.93,93.7
5.28,72.66
2.35,55.59
19.59,139.54
5.17,63.17
17.7,133.16
7.89,75.86
15.9,112.5
13.42,111.75
17.99,133.22
14.42,106.93
10.04,88.31
12.87,108.63
6.83,74.2
1.09,47.52
13.62,106.3
17.41,127.94
18.63,130.34
14.21,110.21
3.77,63.08
3.18,50.68
3.22,53.99
15.93,116.54
16.87,122.03
12.12,101.25
8.03,87.07
5.07,71.39
10.62,88.64
14.33,114.97
14.75,109.92
10.67,99.17
7.68,75.34
4.5,70.14
19.31,133.91
15.67,115.62
7.68,76.26
9.2,81.05
13.38,105.32
19.36,138.49
9.61,93.83
5.13,62.48
19.32,141.56
10.93,88.47
11.78,95.47
14.31,104.39
7.49,84.62
5.81,74.32
8.13,86.73
15.2,117.97
19.1,133.02
12.01,104.87
18.94,133.34
11.75,100.55
19.39,131.19
2.46,54.74
4.1,65.49
13.43,100.21
13.31,112.72
7.17,80.05
19.73,134.04
2.1,48.01
5.68,63.02
2.39,46.56
10.23,92.65
18.98,139.57
14.67,113.74
14.76,116.76
14.8,109.28
10.38,87.64
5.79,69.56
3.23,60.96
9.44,89.85
2.47,52.91
12.36,103.95
13.14,99.79
11.26,100.83
15.97,117.23
5.31,63.55
13.07,98.76
8.37,88.55
5.8,73.65
6.52,75.51
3.65,55.12
19.12,129.24
15.59,122.57
8.5,79
18.42,123.48
14.8,115.53
15.2,117.24
4.64,63.46
16.49,122.94
9.77,86.51
10.18,87.45
15.72,114.68
9.18,84.11
15.06,120.32
5.09,62.6
18.02,122.52
2.68,54.03
7.37,70.56
10.88,93.17
19.81,138.63
3.52,63.35
8.5,78.55
1.06,41.25
1.21,44.34
11.04,88.05
9.29,81.26
6.96,81.53
2.6,51.31
15.84,124.73
3.91,66.62
9.78,87.82
19.41,140.87
4.07,56.72
1.6,46.64
9.73,94.43
7.33,83.07
5.73,68.49
15.95,112.45
5.96,64.27
16.98,127.11
15.9,114.8
12.45,101
1.53,43.92
2.04,48.27
16.88,127.24
4.62,66.8
14.28,110.05
3.78,65.36
6.26,68.03
13.52,105.73
17.62,120.14
9.06,86.76
12.01,104.45
4.67,64.33
1.31,54.22
13.72,104.19
18.38,131.95
11.48,96.2
19.12,140.32
6.44,72.6
11.85,98.47
8.03,79.13
14.47,111.28
6.08,68.64
13.95,112.54
6.4,76.01
12.98,97.48
19.36,130.67
6.04,75.7
17.29,119.31
16.97,117.82
14.06,111.11
12.04,101.96
7.22,71.12
19.9,133.35
2.6,52.46
16.07,117.63
4.08,63.07
7.74,80.99
8.12,77.29
19.05,129.15
9.15,85.23
4.26,62.92
7.94,79.41
6.24,78.23
19.56,140.96
8.34,88.6
6.49,72.47
15.66,112.08
9.14,83.93
13.07,98.22
9.65,87.16
3.56,62.43
19.81,133.6
11.94,93.07
14.56,108.51
19.73,132.54
2.29,55.32
10.88,98.83
14.87,109.26
8.75,83.75
14.32,106.33
8.25,87.97
2.36,59.59
16.27,114.88
16.3,113.28
18.78,127.91
3.09,54.54
2.1,51.34
5.37,70.1
8.43,88.49
14.94,115.93
1.37,51.73
12.92,102.26
6.24,73.91
17.57,125.79
6.47,73.19
3.53,63.73
13.05,104.46
16.87,129.23
7.12,82.51
17.37,128.43
11.17,101.75
9.79,95
17.19,120.6
5.03,67.2
18.03,127.83
2.64,52.54
12.59,108.98
19.78,136.39
12.73,99.19
6.85,72.77
8.02,85.62
7.26,69.87
1.56,42.67
12.1,106.15
6.72,70.06
9.64,82.48
13.38,99.52
12.96,99.33
13.07,105.14
5.17,61.13
6.05,75.46
12.91,109.3
13.26,104.3
10.22,93.82
6.73,72.11
5.84,65.12
18.75,127.14
6.7,70.29
11.08,102.11
10.97,88.09
1.77,53.67
18,129.48
2.52,57.25
9.18,80.48
7.71,80.49
10.26,94.41
15.3,111.95
8.85,83.81
7.48,81.69
18.16,132.68
13.58,104.33
13.06,101.55
2.76,58.58
1.13,46.84
4.41,68.92
2.26,45.9
4.25,64.55
18.96,133.73
4.7,69.4
8.4,75.52
15.82,117.25
4.91,63.71
14.06,116.36
14.44,116.87
5.56,62.71
10.19,86.39
12.63,107.96
2.38,50.46
15.86,121.69
7.94,73.77
2.82,52.13
16.63,118.44
13.36,104.28
16.62,118.41
18.99,135.86
14.9,110.29
10.83,98.62
10.8,91.1
10.09,87.47
19.49,138.23
5.07,67.47
18.45,129.47
13.21,104.24
18.01,133.83
15.62,111.38
5.65,72.21
10.07,90.92
12.57,107.1
15.51,116.75
4.71,69.43
17.47,120.18
8.35,80.47
19.93,134.55
10.76,89.64
12.65,101.47
17.69,133.22
9.81,93.69
7.73,83.63
16.63,125.15
3.56,64.74
13.32,105.1
9.87,90.8
12.41,98.65
9.45,86.46
3.37,51.63
4.56,61.61
2.18,50.93
19.76,130.14
10.03,84.36
5.7,64.65
13.48,108.69
6.59,72.69
10.81,95.54
8.42,83.93
16.18,115.36
10.96,92.16
17,119.45
16.32,116.18
16.55,115.1
11.49,95.36
13.85,102.67
8.11,83.19
5.17,65.98
17.51,132.72
1.76,47.96
14.65,113.88
5.79,66.71
6.58,74.07
5.33,60.79
2.5,59.52
16.14,121.54
10.52,89.26
12.41,102.77
19.85,136.28
11.73,96.41
7.78,80.99
14.08,104.38
15.91,120.2
12.46,103.42
2.33,48.88
12.51,106.4
17.76,125.93
3.28,59.7
3.94,58.04
15.88,116.14
18.58,133.86
12.78,103.12
4.91,72.52
1.06,47.76
14.38,112.02
7.63,83.07
10.26,95.18
15.41,121.24
18.12,135.27
2.04,56.07
7.32,80.64
18.4,125.38
13.27,109.72
2.16,46.08
7.77,77.79
14.18,106.23
17.89,133.46
13.34,107.41
10.15,96.44
19.17,138.46
11.99,96.99
15.43,122.97
15.73,112.06
16.46,118.37
13.5,102.77
19.92,136.42
2.93,61.27
11.26,98.72
17.54,124.58
19.09,138.68
12.07,94.98
16.21,119.83
8.23,78.8
17.06,122.51
17.62,127.25
4.71,70.01
4.82,68.49
9.8,88.98
5.85,70.04
3.06,59.19
9.44,92.98
9.06,83.58
10.98,100.57
17.68,127.8
8.04,76.66
15.22,114.07
14.68,112.69
6.18,68.96
6.04,72.34
15.15,119.25
13.07,106.1
6.37,65.73
3.16,54.46
4.9,71.73
4.15,61.51
5.27,67.16
2.91,54.6
18.43,124.68
9.64,86.8
3.98,63.43
18.35,132.9
10.21,85.89
17.29,119.45
12.51,95.58
17.36,123.06
9.81,86.37
14.6,117.4
12.6,98.52
16.39,125.91
16.35,127.1
18.99,128.97
2.42,53.95
18.53,137.56
12.96,104.73
9.44,93.53
9.2,88.19
5.14,68.55
6.18,69.82
6.46,68.11
12.87,101.72
18.85,139.4
14.23,114.62
15.67,115.26
8.55,80.14
14.99,116.59
4.27,58.76
5.63,69.05
18.02,133
13.49,110.57
6.59,69.15
15.26,113.14
12.14,106.22
19.23,130.23
6.74,74.91
10.62,93.49
10.19,86.43
14.77,118.75
14.58,116.27
4.1,56.66
14.13,113.92
6.56,71.93
6.27,70.56
18.15,133.66
5.86,72.84
10.61,97.83
5.23,74.09
7.37,77.89
7.31,79.81
15.51,109.58
16.99,117.57
5.03,70.16
13.59,110.16
17.98,126.24
8.01,77.5
19.07,133.12
7.98,73.84
16.83,115.82
4.44,58.09
19.53,132.41
1.94,54.3
3.31,52.9
6.77,74.38
17.38,126.43
4.96,71.49
4.99,59.09
5.5,67.09
6.85,68.77
19.45,133.93
11.96,98.46
2.67,58.51
18.13,132.27
3.47,53.26
13.59,113.52
1.34,43.39
14.56,112.55
10.51,95.54
12.63,102.39
1.1,49.69
14.24,112.6
12.09,96.93
16.81,123.72
18.35,137.02
18.06,124.07
11.38,103.19
7.81,75.01
17.66,123.29
10.17,90.15
10.7,98.59
1.8,44.17
1.04,41.99
11.94,93.08
4.05,65.94
11.22,97.08
8.07,74.71
18.3,124.93
13.42,103.57
3.19,56.71
8.07,78.11
6.52,74.01
17.22,123.41
6.22,72.03
7.11,73.17
17.45,122.96
17.52,132.15
4.47,63.04
9.08,90.68
5.2,71.15
18.25,128.02
18.31,123.84
1.55,52.65
6.24,72.31
9.4,83.08
10.47,96.52
4.7,69.36
19.94,134.8
14.06,116.18
16.5,117.49
12.1,106.09
18.58,125.32
8.49,85.2
5.76,74.35
13.47,100.31
10.72,92.57
19.07,127.29
4.79,63.95
4.36,58.89
6.1,70.13
16.22,113.38
8.12,76.11
1.77,44.73
14.92,108.28
4.2,57.81
18.57,124.75
8.71,87.19
5.56,72.13
2.93,52.54
7.93,74.7
3.74,59.29
10.78,90.42
16.7,125.31
7.11,69.85
12.32,102.44
2.3,54.37
8.81,85.07
2.68,53.86
13.26,106.58
8.86,83.08
15.18,119.49
19.95,138.13
3.01,60.78
2.7,53.3
16.87,123.93
12.35,103.88
8.87,89.56
10.47,88.25
8.53,83.89
13.36,102.33
13.23,105.02
11.6,104.2
15.83,115.39
18.84,138.72
16.68,126.42
4.08,56.46
4.81,71.42
17.77,122.54
12.02,102.95
9.72,84.71
6.1,68.66
19.47,132.72
2.34,46.91
18.78,137.29
17.22,117.88
1.23,42.72
5.89,76.39
7.13,77.35
5.68,71.03
4.37,61.9
9.98,88.11
6.72,80.94
13.07,109.93
17.79,124.77
6.79,76.36
1.66,51.75
18.13,135.03
9.91,84.35
16.12,124.09
10.54,91.77
14.66,116.15
14.02,113.75
19.06,135.3
13.36,107.94
19.48,136.46
1.16,53.86
11.62,102.14
7.8,75.45
10.24,86.53
15.36,112.15
7.33,71.89
4.94,60.36
2.2,54.34
1.33,51.15
7.65,72.32
2.44,57.83
16.96,127.52
8.63,79.9
16.49,123.72
11.16,94.78
19.1,140.47
12.21,93.84
3.55,62.01
2.19,56.38
10.79,96.53
14.44,105.76
6.63,71.94
2.33,50.98
18.29,128.16
10.56,99
11.86,99
15.03,113.09
8.47,80.11
7.6,75.19
10.93,97.99
13.72,107.79
1.13,47.23
1.63,49.9
7.19,78.88
7.62,74.8
16.43,121.73
8.6,89.31
8.67,76.89
8.97,79.36
9.13,92
15.51,112.41
8.17,75.3
15.72,117.09
17.77,132.05
4.03,62.8
7.11,69.2
9.6,86.63
15.91,117.62
8.63,86.03
7.43,74.76
7.67,82.84
16.13,114.49
19.03,135.54
9.44,83.98
15.35,112.91
9.15,90.24
12.18,96.21
15.49,118.15
13.79,111.28
3.69,54.39
18.68,137.14
1.73,45.11
19.72,142.27
15.5,109.5
14.55,107.93
9.69,84.47
8.81,81.46
5.07,60.7
18.51,125.29
15.86,122.14
6.33,65.99
11.54,94
14.73,105.87
16.19,113.32
3.36,59.34
7.29,72.6
4.89,67.48
2.48,51.45
2.38,59.04
5.7,63.39
18.81,127.52
1.83,44.72
2.34,49.78
3.68,57.17
7.46,84.55
7.89,84.1
18.11,129.35
6.21,69.41
17.38,120.58
13.14,101.2
1.42,43.68
18.84,130.08
19.61,132.88
9.04,82.73
5.2,66.02
8.05,78.1
19.97,144.11
11.21,96.06
2.42,57.62
19.6,143.04
